_id	parent_id	name	sort_id	c_dtm
129	121	市立高校シリーズ	0	2018/03/04 12:24:26
130	121	楓ヶ丘動物園シリーズ	0	2018/03/04 12:24:49
131	-1	専門書	0	2018/03/04 15:05:32
132	13	新潮社	0	2018/04/03 23:49:41
133	106	冴えない彼女の育て方	0	2018/04/03 23:50:39
134	133	冴えない彼女の育て方 ~egostic lily~	0	2018/04/03 23:51:20
135	116	その他	0	2018/04/22 23:39:46
136	99	老後に備えて異世界で8万枚の金貨を貯めます	0	2018/05/18 00:47:26
137	13	集英社	0	2018/06/09 23:38:11
138	137	ラジエーションハウス	0	2018/06/09 23:39:34
139	76	喜多喜久	0	2018/06/09 23:44:40
