_id	parent_id	title	title_kana	subtitle	subtitle_kana	isbn	author	author_kana	publisher	size	series	series_kana	sales_date	price	url	aff_url	bdate	sd_conv	inmode	c_dtm	memo
17	5	空想科学読本（15（「愛は地球を滅ぼす」編））	クウソウ カガク ドクホン			9784040663708	柳田理科雄	ヤナギタ,リカオ	KADOKAWA	単行本			2014年03月19日	1296	http://books.rakuten.co.jp/rb/12683250/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12683250%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12683250%26surl%3Dbook				2016/10/19 23:19:32	
18	1	となりの関くん（1）	トナリ ノ セキクン			9784040665177	森繁拓真	モリシゲ,タクマ	KADOKAWA	コミック	MFコミックス　フラッパーシリーズ	エムエフ コミックス フラッパー シリーズ	2011年04月	637	http://books.rakuten.co.jp/rb/12666671/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12666671%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12666671%26surl%3Dbook				2016/10/19 23:20:15	
19	1	となりの関くん（2）	トナリ ノ セキクン			9784040665184	森繁拓真	モリシゲ,タクマ	KADOKAWA	コミック	MFコミックス　フラッパーシリーズ	エムエフ コミックス フラッパー シリーズ	2011年11月	637	http://books.rakuten.co.jp/rb/12666672/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12666672%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12666672%26surl%3Dbook				2016/10/19 23:20:22	
20	1	となりの関くん（3）	トナリ ノ セキクン			9784040665191	森繁拓真	モリシゲ,タクマ	KADOKAWA	コミック	MFコミックス　フラッパーシリーズ	エムエフ コミックス フラッパー シリーズ	2012年07月	637	http://books.rakuten.co.jp/rb/12666673/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12666673%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12666673%26surl%3Dbook				2016/10/19 23:20:23	
21	1	となりの関くん（4）	トナリ ノ セキクン			9784040665207	森繁拓真	モリシゲ,タクマ	KADOKAWA	コミック	MFコミックス　フラッパーシリーズ	エムエフ コミックス フラッパー シリーズ	2013年04月05日	637	http://books.rakuten.co.jp/rb/12666674/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12666674%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12666674%26surl%3Dbook				2016/10/19 23:20:38	
22	1	となりの関くん（5）	トナリ ノ セキクン			9784040662404	森繁拓真	モリシゲ,タクマ	KADOKAWA	コミック	MFコミックス　フラッパーシリーズ	エムエフ コミックス フラッパー シリーズ	2014年01月04日	637	http://books.rakuten.co.jp/rb/12602293/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12602293%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12602293%26surl%3Dbook				2016/10/19 23:20:42	
23	1	となりの関くん（6）	トナリ ノ セキクン			9784040668192	森繁拓真	モリシゲ,タクマ	KADOKAWA	コミック	MFコミックス　フラッパーシリーズ	エムエフ コミックス フラッパー シリーズ	2014年07月23日	637	http://books.rakuten.co.jp/rb/12818735/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12818735%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D12818735%26surl%3Dbook				2016/10/19 23:20:52	
24	1	となりの関くん（7）	トナリ ノ セキクン			9784040675152	森繁拓真	モリシゲ,タクマ	KADOKAWA	コミック	MFコミックス　フラッパーシリーズ	エムエフ コミックス フラッパー シリーズ	2015年04月23日	637	http://books.rakuten.co.jp/rb/13158277/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13158277%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D13158277%26surl%3Dbook				2016/10/19 23:20:55	
25	1	となりの関くん　9	トナリノセキクン　9			9784040685106	森繁拓真	モリシゲタクマ	KADOKAWA	コミック	MFコミックス フラッパーシリーズ	エムエフコミックスフラッパーシリーズ	2016年08月23日	648	http://books.rakuten.co.jp/rb/14322342/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14322342%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D14322342%26surl%3Dbook				2016/10/19 23:20:59	
26	7	知ってるようで知らない 音楽おもしろ雑学事典				9784636209495	長田 曉二		ヤマハミュージックメディア				1999年10月01日	1620	http://books.rakuten.co.jp/rb/1108626/	http://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=http%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1108626%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D1108626%26surl%3Dbook			古本	2016/10/23 09:01:17	
